#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
MAG15.fasta,MAG15_63,6597,7590,-,fliG,22-1015/1017,========/======,2/2,97.64,85.23,vfdb,NP_249793,(fliG) flagellar motor switch protein G [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_63,12580,14055,-,fleQ,1-1473/1473,========/======,8/15,99.59,81.11,vfdb,NP_249788,(fleQ) transcriptional regulator FleQ [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_63,24841,25893,-,flgI,58-1110/1110,===============,0/0,94.86,83.29,vfdb,NP_249775,(flgI) flagellar P-ring protein precursor FlgI [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_63,26710,27484,-,flgG,8-782/786,========/======,2/4,98.35,82.37,vfdb,NP_249773,(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_7,20922,22252,+,algC,15-1345/1392,========/======,13/28,94.61,80.07,vfdb,NP_254009,(algC) phosphomannomutase AlgC [Alginate biosynthesis (CVF522)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_7,58736,59209,+,hsiB1/vipA,21-494/519,===============,0/0,91.33,86.92,vfdb,NP_248773,(hsiB1/vipA) type VI secretion system tubule-forming protein VipA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_7,59283,60715,+,hsiC1/vipB,56-1488/1497,===============,0/0,95.72,88.28,vfdb,NP_248774,(hsiC1/vipB) type VI secretion system tubule-forming protein VipB [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_7,60880,61349,+,hcp1,1-470/489,========/======,2/2,95.91,81.95,vfdb,NP_248775,(hcp1) type VI secretion system substrate Hcp1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_7,61974,63833,+,hsiG1,1-1860/1860,========/======,10/12,99.68,80.39,vfdb,NP_248778,(hsiG1) type VI secretion system hcp secretion island protein HsiG1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_7,64833,67496,+,clpV1,1-2709/2709,========/======,9/51,98.23,82.08,vfdb,NP_248780,(clpV1) type VI secretion system AAA+ family ATPase [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_72,195,1483,+,algI,1-1289/1563,=============..,0/0,82.47,84.41,vfdb,NP_252238,(algI) alginate o-acetyltransferase AlgI [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG15.fasta,MAG15_72,3746,5152,+,algA,1-1407/1446,===============,0/0,97.30,80.67,vfdb,NP_252241,(algA) phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
