patent_number	patent_title	patent_abstract
10266868	Compositions for treating HIV infection with cupredoxin and cytochrome C	The present invention relates to cupredoxin, specifically Pseudomonas aeruginosa azurin, and/or Pseudomonas aeruginosa cytochrome c551 and their use in inhibiting of viral infection, and in particular infection of mammalian cells by the Human Immunodeficiency Virus (HIV). The invention also relates to variants and derivatives of cupredoxin and cytochrome c that retain the ability to inhibit viral infection, and in particular infection by the Human Immunodeficiency Virus (HIV). The invention also relates to research methods for studying viral and bacterial infection in mammalian cells.
10278393	Method for disinfecting a surface, and composition suitable for use therein	A method for disinfecting a surface contaminated with microorganisms or suspected of being contaminated with microorganisms, the microorganism being one or more of Escherichia coli, Staphylococcus aureus, Pseudomonas aeruginosa, and Enterococcus hirae, including the step of contacting the surface with a disinfecting composition including: 0.1-10 wt. % of one or more N-acylated amino acids or N-acylated peptides, or a salt thereof, less than 0.1 wt. % of hydrogen peroxide, 0.1-20 wt. % of one or more non-ethoxylated anionic surfactants, 0.05-5 wt. % of a carboxylic acid, wherein the disinfecting composition has a pH in the range of 1-4.5 wherein the composition includes less than 5 wt. % of ethoxylated anionic surfactant. The invention also pertains to a composition suitable for use in the method according to the invention. The method and composition provide excellent biocidal activity over a broad range of organisms using low concentrations of organic acids.
10285938	Composition for the treatment of burns, diabetic wounds, other types of wounds and subsequently greatly reduced scarring	Antimicrobial peptides represent a relatively new discovery in the immune system pathway. Recent designs of synthetically engineered antimicrobial peptides have demonstrated increased potency and efficacy/tolerability, enhanced specificity, and reduced toxicity in comparison. One such peptide, XYLENTRA®, has shown/demonstrated significant promise from significant in vitro studies against a large + pathogens. Additionally, extensive animal studies have shown that the XYLENTRA® is an antimicrobial peptide against a large number of pathogens. The XYLENTRA® peptide is also solute resistant. The peptide XYLENTRA® has shown/demonstrated significant antibacterial activity on test organisms Staphylococcus aureus MTCC 96 and Pseudomonas aeruginosa. MTCC741. A substantial decrease in the microbial population level was observed in animals treated with peptide using the protocol described in detail in the application.
10292390	Inhibition and dispersion of bacterial biofilms with 2-aminobenzimidazole derivatives	Compounds described herein inhibit biofilm formation or disperse pre-formed biofilms of Gram-negative bacteria. Biofilm-inhibitory compounds can be encapsulated or contained in a polymer matrix for controlled release. Coatings, films, multilayer films, hydrogels, microspheres and nanospheres as well as pharmaceutical compositions and disinfecting compositions containing biofilm-inhibitory compounds are also provided. Methods for inhibiting formation of biofilms or dispersing already formed biofilms are provided. Methods for treating infections of gram-negative bacteria which form biofilms, particularly those of Pseudomonas and more particularly P. aeruginosa.
10308919	Method for preparing ascorbic acid-2-phosphate using a recombinant strain	The present invention provides a recombinant strain, construction method thereof and a method for producing acid phosphatase using the recombinant strain. In the invention, the phosphatase gene is obtained from Pseudomonas aeruginosa by a molecular biology method, the constructed expression plasmid is transformed into E. coli BL21 (DE3). The purified enzyme and whole cells were used for the conversion of ascorbic acid to ascorbic acid-2-phosphate. Ascorbic acid-2-phosphate can be efficiently produced by controlling the ratio of substrates. When the conversion reaction is performed at pH 4.5 under 40° C. for 8 h, the output of ascorbic acid-2-phosphate reaches 54.8 g/L, the conversion is 42.9% and the space time yield is 6.9 g/L/h.
10316348	Diagnostic system and process for rapid bacterial infection diagnosis	Methods and devices for monitoring the viability of a biofilm comprising Pseudomonas Aeruginosa bacteria are provided by detecting pyocyanin. The invention relates to electrochemical methods and devices that offer a simple and inexpensive alternative for immediate identification of bacterial infection due to the presence of Pseudomonas aeruginosa. In some embodiments, an inexpensive, disposable electrochemical sensor can be used to rapidly screen for the presence of P. aeruginosa in clinical wound effluent samples.
10321689	Antimicrobial traditional Chinese medicine composition, and preparation method and use thereof	An antimicrobial traditional Chinese medicine composition, and a preparation method and a use thereof are provided, wherein the antimicrobial traditional Chinese medicine composition is made from raw materials comprising fructus perillae, patchouli and usnea. Through the reasonable matching application and synergistic effects of traditional Chinese medicines, the extracted composition has a broad-spectrum antimicrobial effect, and is suitable for being used as a natural preservative. Experiments show that for each microorganism of Staphylococcus aureus, Escherichia coli, Pseudomonas aeruginosa, Candida albicans and Aspergillus niger independently, the antimicrobial effect of the matched composition of the present invention is superior to the antimicrobial effect of single plants, the result where the total effect of the composition is better than sum of the effects of single plants is achieved, and the synergistic effect of antimicrobial effects among the plants is achieved.
10322118	Compounds and methods for inhibiting Cif virulence factor	The present invention provides a screening assay for identifying inhibitors of Pseudomonas aeruginosa CFTR Inhibitory Factor as well as compositions and methods for ameliorating or treating a respiratory disease such as cystic fibrosis or secondary infection thereof.
10328038	Siderophore-polymer conjugates for increasing bacterial sensitivity to antibiotics	The present technology provides siderophore-polymer conjugates that enhance the sensitivity of bacteria to antibiotics, e.g., Pseudomonas, P. aeruginosa, Acinetobacter, and A. baumannii.Methods of preparing and using such conjugates to treat bacterial infections are disclosed.
10342857	Chimeric polypeptides and their use in bacterial decolonization	The present invention relates to assays, kits and oligonucleotides for the detection of Pseudomonas aeruginosa for a fast, sensitive and reliable detection of Pseudomonas aeruginosa in a species- and serotype-specific manner. In particular, the present invention provides an assay for the serotype-specific detection of Pseudomonas aeruginosa, a kit for the serotype-specific detection of Pseudomonas aeruginosa, as well as oligonucleotides useful in such assay or kit. The present invention further relates to the use of Pseudomonas aeruginosa serotype specific antibodies for serotype specific treatment of Pseudomonas aeruginosa infection in a patient detected for said specific Pseudomonas aeruginosa serotype with such an assay or kit.
10344078	Type III secretion system targeting molecules	This invention relates generally to molecules that specifically bind bacterial V-tip proteins of the type III secretion system of Gram negative bacteria such as PcrV from Pseudomonas aeruginosa. More specifically, this invention relates to molecules that block the injection of effector molecules into target cells. This invention also relates to molecules that specifically bind to bacterial lipoproteins, such as OprI. The molecules of the present invention are monospecific or multispecific and can bind their target antigen in a monovalent or multivalent manner. The invention also relates generally to molecules that specifically bind bacterial cell surface proteins such as OprI, and to methods of use these molecules in a variety of therapeutic, diagnostic, and/or prophylactic indications.
10351605	Compositions and methods to prevent cancer by stabilizing p53 through non MDM2-mediated pathways	The present invention relates to compositions and methods comprising chemopreventive agents that may be cupredoxin(s) or variants, derivatives and structural equivalents of cupredoxins, and at least one other chemopreventive agent. Specifically, these compositions may comprise azurin from Pseudomonas aeruginosa, and/or the 50-77 residue region of azurin (p28). The compositions of the invention may be used to prevent or inhibit the development of premalignant lesions in mammalian cells, tissues and animals, and thus prevent cancer.
10369119	Inhibition of multiple pathogenic agents using bithionol	Compositions and methods including Bithionol are provided for treating, inhibiting, or preventing caspase-dependent pathogenic agents in a host cell or infected subject. Examples of caspase-dependent pathogenic agents include ricin, anthrax toxin, Botulinum neurotoxin A, diphtheria toxin, Pseudomonas aeruginosa exotoxin A, cholera toxin, Zika virus, and combinations thereof. Compositions and methods also include Bithionol in combination with an antibiotic for more effective clearance of the pathogen and/or toxins.
10407398	Inhibitors of Pseudomonas aeruginosa LecB	The present invention relates to compounds derived from deoxy fucose. These compounds are useful as lectin inhibitors, especially as inhibitors of LecB. The invention also relates to pharmaceutical compositions comprising these compounds. The invention further relates to therapeutic uses of these compounds, especially to the prophylaxis or treatment of infections involving Pseudomonas aeruginosa.
10416153	Chemical fluorescent probes for detecting biofilms	The present invention relates to a family of fluorescent compounds based on the BODIPY scaffold, and methods for the preparation of said compounds. The present invention further relates to the use of said compounds for the detection of bacterial biofilms, wherein the bacterial biofilm comprises Pseudomonas aeruginosa and the compound specifically binds to a Fap protein of Pseudomonas aeruginosa, or wherein the compound specifically binds to bacterial cells that contain high levels of cyclic-di-guanosine-monophosphate (c-di-GMP).
10422791	Haptens and conjugates derived from pyocyanin, antibodies thereof, and immunochemical method for detecting infections caused by Pseudomonas aeruginosa	The present invention relates to a compound of general formula I and to the use thereof as a hapten.An object of the present invention is also a conjugate of said compound I with a carrier protein or fragment thereof, with a detectable labelling agent, or with a polymer or support, and to the use thereof for producing antibodies. Furthermore, the present invention also relates to a method for the detection and/or quantification of 1-hydroxyphenazine and/or pyocyanin using said antibodies and conjugates for the detection of infections caused by Pseudomonas aeruginosa.
10428126	Dermaseptin-type and piscidin-type antimicrobial peptides	Antimicrobial agents, including antimicrobial peptides (AMPs) and uses thereof. Compositions and methods of using dermaseptin-type and piscidin-type antimicrobial peptides that demonstrate activity and improved therapeutic indices against microbial pathogens. The peptide compositions demonstrate the ability to not only maintain or improve antimicrobial activity against bacterial pathogens including Gram-negative microorganisms Acinetobacter baumannii and Pseudomonas aeruginosa, but also significantly decrease hemolytic activity against human red blood cells. Specificity determinants within the AMPS change selectivity from broad spectrum antimicrobial activity to AMPS with gram-negative selectivity.
10500263	Glycoconjugate vaccines comprising basic units of a molecular construct expressing built-in multiple epitopes for the formulation of a broad-spectrum vaccine against infections due to enteropathogenic bacteria	The present invention refers to new glycoconjugate antigens expressing built-in multiple epitopes and to polyvalent glycoconjugate vaccines intended for the protection of mammalians, and particularly for the protection of the human population from enteropathogenic bacteria, such as the Gram-positive anaerobic bacterium Clostridium difficile and the Gram-negative bacteria Salmonella typhi, Escherichia Coli, Vibrio Cholerae, Shigella flexneri, Salmonella typhimurium, Salmonella enteritidis, Salmonella paratyphi A, Shigella sonnei, Shigella dysenteriae, Salmonella cholerasuis, Klebsiella, Enterobacter, Pseudomonas aeruginosa and/or from viral gastrointestinal infections due to human noroviruses.
10512523	Apparatus and methods for hygiene testing a medical device	Provided among other things is a sampling system for determining an amount or type of contamination a narrow, elongated passageway in a medical device, said sampling system comprising: (a) a fluid supply system that supplies to said passageway a sampling liquid for flowing through said passageway and a gas for flowing through said passageway; and (b) a receiving container that receives liquid from said passageway, wherein said sampling liquid is sterile, wherein said sampling liquid is configured to allow recovery of viable pathogens from the passageway, and wherein said sampling liquid comprises an amount and selection of surfactant effective to enhance the dislodgement of Enterococcus faecalis and Pseudomonas aeruginosa bacteria from the narrow passageways.
10525145	ExPEC glycoconjugate vaccine formulations	Compositions and methods for inducing an immune response against extra-intestinal pathogenic Escherichia coli (ExPEC) are described. In particular, multivalent vaccines containing E. coli antigen polysaccharide covalently bound to a exotoxin A of Pseudomonas aeruginosa (EPA) carrier protein that can withstand multiple environmental stresses are described.
10537593	Method, target and application for NO accumulation to decrease Pseudomonas aeruginosa invasiveness	Provided are a method, target and application for NO accumulation to decrease invasiveness of Pseudomonas aeruginosa; achieving NO accumulation by means of external NO donors or disruption of internal NO metabolism in an environment where Pseudomonas aeruginosa is growing or being cultured, in order to decrease production by Pseudomonas aeruginosa of the invasion factor pyocyanin. Utilizing even micro-quantities of NO can significantly inhibit Pseudomonas aeruginosa PCN (PCN synthesis down 82% with 60 μM SNP treatment); by inhibiting NO reductase, an enzyme related to NO metabolism, PCN synthesis can be significantly inhibited (the PAO1-Δnor strain has 84% PCN reduction). Using NO donors or inhibiting enzymes involved in Pseudomonas aeruginosa NO metabolism as a means of combating bacterial infectious disease does not affect the body's normal microflora like traditional antibiotics.
10537609	MUC1 decoy peptides for treatment and prevention of bacterial infections	Pseudomonas aeruginosa flagellin protein recruits the mammalian host sialidase enzyme neuraminidase-1 (NEU1) to remove sialic acid residues from the extracellular domain of the mammalian cell-surface protein MUC1 (MUC1-ED), thereby exposing a cryptic binding site on the MUC1-ED protein backbone for flagellin binding. NEU1-driven MUC1-ED desialylation rapidly increases P. aeruginosa adhesion to the airway epithelium. MUC1-ED desialylation also increases MUC1-ED cleavage and shedding from the cell surface, where desialylated, shed MUC1-ED competitively blocks P. aeruginosa adhesion to cell-associated MUC1-ED. Presented herein are data showing that exogenously-administered, deglycosylated MUC1-ED peptides reduced adhesion of P. aeruginosa to airway epithelial cells. Also presented are data showing that administration of P. aeruginosa to mice in combination with deglycosylated MUC1-ED decreased P. aeruginosa recovered from the lungs at 48 hr and 72 hr post-infection. Such findings are extended to the methods of treatment and prevention of bacterial infections defined herein.
10538443	Method of degradation and inactivation of antibiotics in water by immobilized enzymes onto functionalized supports	The present invention relates to a method for degrading and inactivating at least one xenobiotic, the at least one xenobiotic being present in an aqueous medium. The method comprises the steps of (a) grafting at least one enzyme onto a solid support, (b) incubating the solid support with the at least one enzyme into the aqueous medium and (c) measuring the evolution of the concentration of the at least one xenobiotic. The method is remarkable in that the at least one enzyme is New-Dehli metallo-β-lactamase 1, a laccase extracted from Pleurotus ostreatus and/or a β-lactamase extracted from Pseudomonas aeruginosa and in that the solid support is a moving bed carrier.
10568849	Method for preventing, treating, or ameliorating a microbial infection	A method for preventing, treating, or ameliorating a microbial infection can include administering thymoquinone or a pharmaceutical composition comprising thymoquinone to a patient in need thereof. The patient may be suffering from a microbial infection caused by gram-negative bacteria, gram-positive bacteria, or fungi. The microbial infection may be caused by gram negative bacteria. The gram-negative bacteria may include Acinetobacter baumannii. The gram-negative bacteria may include Pseudomonas aeruginosa. The microbial infection may be caused by antimicrobial sensitive Acinetobacter baumannii or antimicrobial resistant Acinetobacter baumannii.
10576100	Chitosan zinc oxide nanoparticle formulation for treating drug resistant bacteria	A broad-based remediation mechanism against MRFs and alternative fecal indicators such as multidrug resistant Pseudomonas aeruginosa, including nanotechnology formulations and methodologies that may be used to develop novel treatment strategies against certain drug resistant bacterial strains. The current invention relates to the treatment of drug resistant bacteria from nosocomial infections, for example in hospitals and in food animals. The invention uses hybrid nanomaterials comprising oligo-chitosan and zinc oxide formulated as nanoparticles and micelles. The inventors unexpectedly found unique properties of very small oligomers of chitosan that effectively treat multi-drug resistant bacteria without compromising the balance of the beneficial flora in the physiological and ecological microenvironments in a host. Also, the combination of chitosan with zinc oxide demonstrated synergistic and unexpected effects in remediation of important food-borne bacteria including the resistant types.
10577404	Polypeptide derivatives from grass carp interferon and application thereof	Derivative polypeptide derived from a grass carp interferon and an application of the derivative polypeptide. An amino acid sequence of the derivative polypeptide is as shown in SEQ ID NO:1; the interferon-derived polypeptide has a high-efficiency antibacterial effect and can take effect against drug-resistant Escherichia coli, Staphylococcus aureus, Pseudomonas aeruginosa, Streptococcus agalactiae, Vibrio fluvialis or Aeromonas hydrophila. The interferon-derived polypeptide is less toxic to eukaryotes and can effectively reduce the mortality of mice in a mouse disease model caused by pathological bacteria. The interferon-derived polypeptide which is small in molecular weight is easily synthesized and has a good application value.
10583185	Methods and compositions for immune protection against extra-intestinal pathogenic E. coli	Compositions and methods are described for inducing an immune response against extra-intestinal pathogenic Escherichia coli (ExPEC) to thereby provide immune protection against diseases associated with ExPEC. In particular, compositions and methods are described for using conjugates of E. coli polysaccharide antigens O25B, O1A, O2, and O6A covalently bound to a detoxified exotoxin A of Pseudomonas aeruginosa (EPA) carrier protein as vaccines for the prevention of invasive ExPEC disease caused by ExPEC serotypes O1A, O2, O6A and O25B.
10597693	Enrichment and selective culture of mycobacteria	A process for the enrichment and selective culture of mycobacteria contained in a biological sample, wherein all or part of the sample is inoculated in/on a culture medium including a nutritive component suitable for the development and growth of mycobacteria, wherein the culture medium includes, as selective agents, at least 9-chloro-9-(4′-diethylamino)phenyl-9,10-dihydro-10-phenylacridine hydrochloride (or C-390) and an agent capable of inhibiting Pseudomonas aeruginosa bacteria. The invention also relates to a culture medium suitable for implementing this process for the enrichment and selective culture of mycobacteria.
10626466	Compositions, kits and related methods for the detection and/or monitoring of Pseudomonas aeruginosa	The present invention provides compositions, methods and kits for the species-specific detection of Pseudomonas aeruginosa.
10675301	Chitosan oligomer and zinc oxide nanoparticle compositions for treating drug resistant bacteria and biofilm	A broad-based remediation mechanism against MRFs and alternative fecal indicators such as multidrug resistant Pseudomonas aeruginosa, including nanotechnology formulations and methodologies that may be used to develop novel mitigation strategies against certain drug resistant bacterial strains. The current invention relates to mitigation of drug resistant bacteria, for example in hospitals and in food animals, and to the identification. The invention uses hybrid nanomaterials comprising oligo-chitosan and zinc oxide formulated as nanoparticles and micelles. The invention also relates to the treatment of multi-drug resistant biofilms which mimic in vivo conditions. The inventors unexpectedly found unique properties of very small oligomers of chitosan that effectively mitigate MRF and alternative resistant strain-induced illnesses without compromising the balance of the beneficial flora in the physiological and ecological microenvironments. The combination of chitosan with zinc oxide demonstrated synergistic and unexpected effects in treating multi-drug resistant pathogens.
10702491	Soap compositions and methods	Natural soap compositions and methods of manufacturing the same having anti-microbial properties for treating and preventing diaper rash and other microbial infections. The soap compositions may contain one or more fatty acids with carbon length ranging from four (C4) to twenty-two (C22) and/or natural fatty acid mixtures of coconut oil, olive oil, and/or tall oil fatty acids which are saponified with lye. The saponification lye may be sodium or potassium hydroxide. In preferred embodiments, the soap compositions contain at least one of sodium or potassium caprate, sodium or potassium caprylate, or mixtures thereof, especially 55:45% caprylate to caprate. The soap compositions are effective at treating or preventing diaper rashes and other microbial infections associated with Candida albicans (Ca—yeast), Pseudomonas aeruginosa (Psa—a Gram negative bacteria), Staphylococcus aureus (Sa—a Gram positive bacteria), and Aspergillus niger (An—a mold).
10704076	Multi-tiered high through-put screen for compounds effective against bacterial biofilm and compounds effective for inhibiting and eradicating bacterial biofilm	A high through-put screening method for identifying agents effective for inhibiting biofilm formation and/or killing established biofilm are disclosed. The method includes three tiers, and each tier includes three specific biological process assays. The tier levels are a primary screen, a confirmation screen, and a dose-response screen, and the biological process assays include assays for total bacterial growth, bacterial metabolic activity, and biofilm formation. The series of assays may be run once or more than once at each tier. A library of compounds is subject to tier A and only compounds meeting a primary parameter advance to tier B, and only tier B compounds meeting a confirmation parameter advance to tier C, and only tier C compounds meeting a dose-response parameter are identified as putative agents effective for inhibiting and/or eradicating a biofilm, further wherein the assays are conducted for each compound subject to the respective tier. The method is effective and validated for identifying agents which inhibit and/or kill Staphylococcus epidermidis, Pseudomonas aeruginosa, and Acinetobacter baumannii biofilms. Agents identified according to the high through-put screen and validated in follow-up experiments as effective for inhibiting and/or killing bacterial biofilms are also disclosed.
10729690	Antihelminthic medications for pathogenic nematodes	Inappropriate activation of innate immune responses in nematode intestinal epithelial cells underlies the pathophysiology of some inflammatory disorders. Immunostimulatory xenobiotics are known to protect nematodes from bacterial infection (e.g., Pseudomonas aeruginosa). Conversely, these same xenobiotics are toxic to uninfected nematodes. These xenobiotics were subjected to a forward genetic screen in uninfected nematodes to identify nematode mutants that were resistant to the deleterious effects of these xenobiotics. These resistant nematode strains contained hypomorphic mutations in each of the known components of the p38 MAP kinase cassette (tir-1, nsy-1, sek-1 and pmk-1), demonstrating that hyperstimulation of p38 MAPK innate immune responses may be responsible for the induced toxicity. A second genetic screen using dominant activators of the p38 MAPK pathway identified a single allele that had a gain-of-function (gf) mutation in nsy-1, the MAP kinase kinase kinase that acts upstream of p38 MAPK pmk-1.
10730912	Template-fixed peptidomimetics with antimicrobial activity	Template-fixed β-hairpin peptidomimetics of the general formula wherein Z is a template-fixed chain of 12 α-amino acid residues which, depending on their positions in the chain (counted starting from the N-terminal amino acid) are Gly, or Pro, or of certain types which, as the remaining symbols in the above formula, are defined in the description and the claims, and salts thereof, have the property to selectively inhibit the growth of or to kill microorganisms such as Pseudomonas aeruginosa. They can be used as disinfectants for foodstuffs, cosmetics, medicaments or other nutrient-containing materials, or as medicaments to treat or prevent infections. These β-hairpin peptidomimetics can be manufactured by processes which are based on a mixed solid- and solution phase synthetic strategy.
10744189	Lysin polypeptides active against Gram-negative bacteria	The present disclosure provides methods and compositions useful for the prophylactic and therapeutic amelioration and treatment of infections caused by Gram-negative bacteria, including Pseudomonas aeruginosa. The disclosure further provides compositions and methods of incorporating and utilizing lysin polypeptides of the present disclosure for augmenting the efficacy of antibiotics generally suitable for the treatment of Gram-negative bacterial infection.
10745466	Type III secretion system targeting molecules	This invention relates generally to molecules that specifically bind bacterial V-tip proteins of the type III secretion system of Gram negative bacteria such as PcrV from Pseudomonas aeruginosa. More specifically, this invention relates to molecules that block the injection of effector molecules into target cells. This invention also relates to molecules that specifically bind to bacterial lipoproteins, such as OprI. The molecules of the present invention are monospecific or multispecific and can bind their target antigen in a monovalent or multivalent manner. The invention also relates generally to molecules that specifically bind bacterial cell surface proteins such as OprI, and to methods of use these molecules in a variety of therapeutic, diagnostic, and/or prophylactic indications.
10787386	Antimicrobial-antireflective articles and methods for making the same	Described herein are antimicrobial articles having improved antimicrobial efficacy and antireflective properties. Further described are methods of making and using the improved articles. The antimicrobial articles generally include an antimicrobial element and an antireflective element. The antireflective element, in some cases, can be disposed directly on a glass, glass-ceramic or ceramic substrate and the antimicrobial element is disposed on the antireflective element. The article can exhibit a reflectance of about 4% or less (and less than 1% in some cases) in the range of about 425 nm to about 725 nm. Further, the article can be characterized with an antimicrobial efficacy by exhibiting at least a 2 log reduction in a concentration of at least Staphylococcus aureus, Enterobacter aerogenes, and Pseudomonas aeruginosa bacteria under a Modified EPA Copper Test Protocol.
10793594	Antimicrobial compounds and/or modulators of microbial infections and methods of using the same	Some embodiments include compounds that can inhibit the growth of bacterial and/or inhibit or reduce microbial infections caused by one or more microorganisms (e.g., Pseudomonas aeruginosa and Cryptococcus neoformans) and methods of using these compounds to treat microbial infection and outbreaks and/or to reduce the formation of biofilms. Other embodiments include synthesis of the compounds that can inhibit the growth of one or more microorganisms and/or inhibit or reduce microbial infections.
10801053	Process for producing a rhamnolipid produced by Pseudomonas or Enterobacter using andiroba or murumuru seed waste	Process for producing a rhamnolipid produced by Pseudomonas or Enterobacter using andiroba or murumuru seed waste, pertaining to the sector of compounds containing monosaccharide radicals, consists of producing rhamnolipids by a biotechnological process using andiroba or murumuru seed waste, following oil extraction, as a substrate for a Pseudomonas aeruginosa, Enterobacter hormaechei or Enterobacter buriae line cultivated in a bioreactor with a non-dispersive aeration system for reducing foam, producing a rhamnolipid content of 10.5 g/L for Pseudomonas aeruginosa bacteria, in bioreactors carried out in a stirred tank with non-dispersive aeration using microporous membranes, particularly of silicone tubes, which allow oxygen to be supplied by diffusion. This type of aeration allows for various configurations, and in the embodiment of the invention, the porous membrane/tube was internally located in the liquid in the bioreactor in the form of a serpentine, under the following process conditions: pure oxygen with suitable pressure and flow rate to maintain O2 pressure in the bioreactor at 20% during the first 24 hours of the assay and stirring varying from 300 to 700 rpm, using 2 radial impellers and manual adjustment according to the decrease in the concentration of dissolved oxygen. The product produced has features that can be used primarily in the cosmetic industry due to its emulsifying, stability and non toxicity capacities.
10829520	Beta-hairpin peptidomimetics	Beta-hairpin peptidomimetics of the general formula (I), and pharmaceutically acceptable salts thereof, with P, T, Q, and optionally L being elements as defined in the description and the claims, have Gram-negative antimicrobial activity to e.g. inhibit the growth or to kill microorganisms such as Klebsiella pneumoniae and/or Acinetobacter baumannii and/or Escherichia coli and/or Pseudomonas aeruginosa. They can be used as medicaments to treat or prevent infections or as disinfectants for foodstuffs, cosmetics, medicaments or other nutrient-containing materials.These peptidomimetics can be manufactured by a process which is based on a mixed solid- and solution phase synthetic strategy.
