Genus,Species,Synonyms,ncbi_taxid,taxid_matching_level,type_strain,medium_name,medium_link,strain_history,gram,length,width,motility,oxygen_tolerance,spore,aggregation_score,GC_content,antibiotic_resistance_chebi,antibiotic_resistance_metabolite
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Production of Lipase active at pH 5.5 and 7.5,NA,NA,NA
Pseudomonas,Pseudomonas fluorescens,NA,294,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,1424337,strain,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,1236529,strain,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,ATCC 27853 <-- A. A. Medeiros strain Boston 41501.,NA,NA,NA,NA,aerobe,NA,not ESBL,66.8,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,IAM 13074 <-- NCIMB 8626 <-- ATCC 9027 <-- C. P. Hegarty.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,BLOOD AGAR BASE (OXOID CM55) (DSMZ Medium 617a),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,LB (Luria-Bertani) MEDIUM (DSMZ Medium 381),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,ORGANIC MEDIUM 79 (DSMZ Medium 426),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,not ESBL,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,yes,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,"Y. Kosako 85002 <-- Nissui Pharm. Co., Ltd. <-- ATCC 10145 <-- F. Kavanagh <-- Merck Sharp & Dohme Res. Labs..",negative,0.2-0.6 µm,NA,NA,NA,NA,NA,NA,73908;17334;38291;17698;48923;28368;6104;27644;27701;8309;27902,vibriostat;penicillin;dihydrostreptomycin;chloramphenicol;erythromycin;novobiocin;kanamycin;chlortetracyclin;oxytetracycline;polymyxin b;tetracycline
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,CIP 104116 <-- ATCC 15692 <-- B. W. Holloway 1C <-- P. Rountree PAO1.,NA,NA,NA,NA,aerobe,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,ESBL,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,ESBL,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,"1952, Bass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,CASO AGAR (MERCK 105458) (DSMZ Medium 220),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,ORGANIC MEDIUM 79 (DSMZ Medium 426),NA,NA,NA,NA,NA,NA,NA,NA,ESBL,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,K. Komagata <-- R. Hugh 1455.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,K. Komagata <-- R. Hugh 1435.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,GLUCOSE YEAST EXTRACT MEDIUM (DSMZ Medium 54),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,BHI MEDIUM (DSMZ Medium 215),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,BHI MEDIUM (DSMZ Medium 215),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,LB (Luria-Bertani) MEDIUM (DSMZ Medium 381),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,LB (Luria-Bertani) MEDIUM (DSMZ Medium 381),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,LB (Luria-Bertani) MEDIUM (DSMZ Medium 381),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,LB (Luria-Bertani) MEDIUM (DSMZ Medium 381),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,LB (Luria-Bertani) MEDIUM (DSMZ Medium 381),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,LB (Luria-Bertani) MEDIUM (DSMZ Medium 381),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,LB (Luria-Bertani) MEDIUM (DSMZ Medium 381),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,LB (Luria-Bertani) MEDIUM (DSMZ Medium 381),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,aerobe,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,NUTRIENT AGAR (DSMZ Medium 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,COLUMBIA BLOOD MEDIUM (DSMZ Medium 693),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,TRYPTICASE SOY BROTH AGAR (DSMZ Medium 535),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,LB (Luria-Bertani) MEDIUM (DSMZ Medium 381),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Pseudomonas aeruginosa,Bacterium aeruginosum,287,species,no,MEDIUM 3 - Columbia agar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereibacter,Cereibacter sphaeroides,Luteovulum sphaeroides,1063,species,no,RHODOSPIRILLACEAE MEDIUM (modified) (DSMZ Medium 27),NA,NA,NA,NA,NA,NA,anaerobe,NA,NA,NA,NA,NA
Cereibacter,Cereibacter sphaeroides,Luteovulum sphaeroides,1063,species,yes,RHODOSPIRILLACEAE MEDIUM (modified) (DSMZ Medium 27),NA,"1960, C.B. van Niel, Hopkins Marine Stat., California, USA: strain ATH 2.4.1., Rhodopseudomonas sphaeroides",NA,NA,NA,NA,anaerobe,NA,quinones: Q-10,68.4-69.9,NA,NA
Cereibacter,Cereibacter sphaeroides,Luteovulum sphaeroides,1063,species,no,RHODOSPIRILLACEAE MEDIUM (modified) (DSMZ Medium 27),NA,NA,NA,NA,NA,NA,anaerobe,NA,NA,NA,NA,NA
Cereibacter,Cereibacter sphaeroides,Luteovulum sphaeroides,1063,species,no,RHODOSPIRILLACEAE MEDIUM (modified) (DSMZ Medium 27),NA,NA,NA,NA,NA,NA,anaerobe,NA,NA,73.2,NA,NA
Cereibacter,Cereibacter sphaeroides,Luteovulum sphaeroides,1063,species,no,RHODOSPIRILLACEAE MEDIUM (modified) (DSMZ Medium 27),NA,NA,NA,NA,NA,NA,anaerobe,NA,NA,NA,NA,NA
Cereibacter,Cereibacter sphaeroides,Luteovulum sphaeroides,1063,species,no,RHODOSPIRILLACEAE MEDIUM (modified) (DSMZ Medium 27),NA,NA,NA,NA,NA,NA,anaerobe,NA,NA,NA,NA,NA
Cereibacter,Cereibacter sphaeroides,Luteovulum sphaeroides,1063,species,no,RHODOSPIRILLACEAE MEDIUM (modified) (DSMZ Medium 27),NA,NA,NA,NA,NA,NA,anaerobe,NA,NA,NA,NA,NA
Rhodobacter,Rhodobacter sphaeroides,Luteovulum sphaeroides,1063,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodobacter,Rhodobacter sphaeroides,Luteovulum sphaeroides,1063,species,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
