#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
MAG05.fasta,MAG05_102,8116,9618,+,pvcC,1-1503/1503,===============,0/0,100.00,99.33,vfdb,NP_250946,(pvcC) paerucumarin biosynthesis protein PvcC [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_102,9611,10258,+,pvcD,1-648/648,===============,0/0,100.00,99.23,vfdb,NP_250947,(pvcD) paerucumarin biosynthesis protein PvcD [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_114,825,2549,+,pchI,1-1725/1725,===============,0/0,100.00,98.84,vfdb,NP_252912,(pchI) ABC transporter ATP-binding protein [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_114,2641,4803,+,fptA,1-2163/2163,===============,0/0,100.00,99.49,vfdb,NP_252911,(fptA) Fe(III)-pyochelin receptor precursor [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_118,53,2077,+,pilQ,121-2145/2145,===============,0/0,94.41,96.84,vfdb,NP_253727,(pilQ) type 4 fimbrial biogenesis protein PilQ [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_121,461,979,-,hsiB1/vipA,1-519/519,===============,0/0,100.00,100.00,vfdb,NP_248773,(hsiB1/vipA) type VI secretion system tubule-forming protein VipA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_121,1068,2102,-,hsiA1,1-1035/1035,===============,0/0,100.00,98.45,vfdb,NP_248772,(hsiA1) type VI secretion system hcp secretion island protein HsiA1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_122,243,1451,+,phzS,1-1209/1209,===============,0/0,100.00,98.26,vfdb,NP_252907,(phzS) flavin dependent hydroxylase PhzS [Pyocyanin (VF0100)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_14,6463,8055,+,pilS,1-1593/1593,===============,0/0,100.00,99.62,vfdb,NP_253236,(pilS) two-component sensor PilS [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_14,8070,9407,+,pilR,1-1338/1338,===============,0/0,100.00,99.85,vfdb,NP_253237,(pilR) two-component response regulator PilR [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_14,10682,11191,+,fimT,1-510/510,===============,0/0,100.00,99.61,vfdb,NP_253239,(fimT) type 4 fimbrial biogenesis protein FimT [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_14,11297,11803,+,fimU,1-507/507,===============,0/0,100.00,100.00,vfdb,NP_253240,(fimU) type 4 fimbrial biogenesis protein FimU [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_14,11794,12351,+,pilV,1-558/558,===============,0/0,100.00,99.64,vfdb,NP_253241,(pilV) type IV pilus biogenesis protein PilV [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_14,12348,13172,+,pilW,1-825/825,===============,0/0,100.00,99.88,vfdb,NP_253242,(pilW) type IV fimbrial biogenesis protein PilW [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_14,13169,13756,+,pilX,1-588/588,===============,0/0,100.00,100.00,vfdb,NP_253243,(pilX) type 4 fimbrial biogenesis protein PilX [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_14,13768,17259,+,pilY1,1-3486/3486,========/======,10/30,99.66,92.01,vfdb,NP_253244,(pilY1) type 4 fimbrial biogenesis protein PilY1 [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_14,17261,17608,+,pilY2,1-348/348,===============,0/0,100.00,99.42,vfdb,NP_253245,(pilY2) type 4 fimbrial biogenesis protein PilY2 [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_14,17605,18030,+,pilE,1-426/426,===============,0/0,100.00,99.53,vfdb,NP_253246,(pilE) type 4 fimbrial biogenesis protein PilE [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_18,46785,47543,+,pilF,1-759/759,===============,0/0,100.00,99.08,vfdb,NP_252494,(pilF) type 4 fimbrial biogenesis protein PilF [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,132480,133529,-,pscU,1-1050/1050,===============,0/0,100.00,99.52,vfdb,NP_250381,(pscU) type III secretion system protein PscU [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,133526,134314,-,pscT,1-789/789,===============,0/0,100.00,99.49,vfdb,NP_250382,(pscT) type III secretion system protein PscT [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,134311,134577,-,pscS,1-267/267,===============,0/0,100.00,99.62,vfdb,NP_250383,(pscS) type III secretion system protein PscS [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,134580,135233,-,pscR,1-654/654,===============,0/0,100.00,99.69,vfdb,NP_250384,(pscR) type III secretion system protein PscR [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,135230,136159,-,pscQ,1-930/930,===============,0/0,100.00,99.68,vfdb,NP_250385,(pscQ) type III secretion system protein PscQ [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,136156,137235,-,pscP,1-1110/1110,========/======,1/30,97.30,96.31,vfdb,NP_250386,(pscP) type III secretion system protein PscP [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,137223,137699,-,pscO,1-477/477,===============,0/0,100.00,99.37,vfdb,NP_250387,(pscO) type III secretion system protein PscO [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,137696,139018,-,pscN,1-1323/1323,===============,0/0,100.00,99.17,vfdb,NP_250388,(pscN) type III secretion system ATPase PscN [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,139209,140075,+,popN,1-867/867,===============,0/0,100.00,99.42,vfdb,NP_250389,(popN) type III secretion system outer membrane protein PopN [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,140056,140334,+,pcr1,1-279/279,===============,0/0,100.00,100.00,vfdb,NP_250390,(pcr1) type III secretion system protein Pcr1 [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,140321,140692,+,pcr2,1-372/372,===============,0/0,100.00,99.19,vfdb,NP_250391,(pcr2) type III secretion system protein Pcr2 [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,140689,141054,+,pcr3,1-366/366,===============,0/0,100.00,100.00,vfdb,NP_250392,(pcr3) type III secretion system protein Pcr3 [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,141059,141388,+,pcr4,1-330/330,===============,0/0,100.00,99.70,vfdb,NP_250393,(pcr4) type III secretion system protein Pcr4 [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,141385,143505,+,pcrD,1-2121/2121,===============,0/0,100.00,99.67,vfdb,NP_250394,(pcrD) type III secretion system protein PcrD [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,143502,143936,+,pcrR,1-435/435,===============,0/0,100.00,99.77,vfdb,NP_250395,(pcrR) type III secretion system regulatory protein PcrR [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,143964,144260,+,pcrG,1-297/297,===============,0/0,100.00,99.66,vfdb,NP_250396,(pcrG) type III secretion system cytoplasmic regulator PcrG [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,144270,145154,+,pcrV,1-885/885,===============,0/0,100.00,99.55,vfdb,NP_250397,(pcrV) type III secretion system hydrophilic translocator needle tip protein PcrV [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,145163,145669,+,pcrH,1-504/504,========/======,1/3,100.00,99.41,vfdb,NP_250398,(pcrH) type III secretion system regulatory protein PcrH [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,145650,146822,+,popB,1-1173/1173,===============,0/0,100.00,99.57,vfdb,NP_250399,(popB) type III secretion system hydrophobic translocator pore protein PopB [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,146834,147721,+,popD,1-888/888,===============,0/0,100.00,99.89,vfdb,NP_250400,(popD) type III secretion system hydrophobic translocator pore protein PopD [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,147847,148284,+,exsC,1-438/438,===============,0/0,100.00,99.77,vfdb,NP_250401,(exsC) type III secretion system regulatory protein ExsC [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,148293,148538,+,exsE,1-246/246,===============,0/0,100.00,99.19,vfdb,NP_250402,(exsE) type III secretion system regulatory protein ExsE [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,148547,148960,+,exsB,1-414/414,===============,0/0,100.00,99.52,vfdb,NP_250403,(exsB) type III secretion system piolitin ExsB [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,149258,150094,+,exsA,1-837/837,===============,0/0,100.00,99.64,vfdb,NP_250404,(exsA) type III secretion system regulatory protein ExsA [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,150192,151022,+,exsD,1-831/831,===============,0/0,100.00,99.16,vfdb,NP_250405,(exsD) type III secretion system regulatory protein ExsD [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,151056,151478,+,pscB,1-423/423,===============,0/0,100.00,99.53,vfdb,NP_250406,(pscB) type III secretion system protein PscB [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,151478,153280,+,pscC,1-1803/1803,===============,0/0,100.00,99.78,vfdb,NP_250407,(pscC) type III secretion system secretin PscC [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,153282,154580,+,pscD,1-1299/1299,===============,0/0,100.00,99.54,vfdb,NP_250408,(pscD) type III secretion system basal body protein PscD [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,154543,154746,+,pscE,1-204/204,===============,0/0,100.00,99.02,vfdb,NP_250409,(pscE) type III secretion system cochaperone PscE for PscG [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,154749,155006,+,pscF,1-258/258,===============,0/0,100.00,100.00,vfdb,NP_250410,(pscF) type III secretion system needle filament protein PscF [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,155009,155356,+,pscG,1-348/348,===============,0/0,100.00,100.00,vfdb,NP_250411,(pscG) type III secretion system chaperone PscG for PscF [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,155353,155784,+,pscH,1-432/432,===============,0/0,100.00,99.77,vfdb,NP_250412,(pscH) type III secretion system protein PscH [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,155784,156122,+,pscI,1-339/339,===============,0/0,100.00,99.70,vfdb,NP_250413,(pscI) type III secretion system inner rod protein PscI [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,156119,156865,+,pscJ,1-747/747,===============,0/0,100.00,99.87,vfdb,NP_250414,(pscJ) type III secretion system inner MS ring protein [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,156874,157494,+,pscK,1-627/627,========/======,1/6,99.04,98.25,vfdb,NP_250415,(pscK) type III secretion system protein PscK [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_2,157473,158117,+,pscL,1-645/645,===============,0/0,100.00,99.84,vfdb,NP_250416,(pscL) type III secretion systemt protein PscL [TTSS (VF0083)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,28307,28918,-,chpE,1-612/612,===============,0/0,100.00,99.35,vfdb,NP_249108,(chpE) probable chemotaxis protein [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,28994,29788,-,chpD,1-795/795,===============,0/0,100.00,99.12,vfdb,NP_249107,(chpD) probable transcriptional regulator [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,29796,30302,-,chpC,1-507/507,===============,0/0,100.00,98.42,vfdb,NP_249106,(chpC) probable chemotaxis protein [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,30299,31330,-,chpB,1-1032/1032,===============,0/0,100.00,99.61,vfdb,NP_249105,(chpB) probable methylesterase [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,31323,38759,-,chpA,1-7419/7419,========/======,1/18,100.00,99.05,vfdb,NP_249104,(chpA) still frameshift probable component of chemotactic signal transduction system [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,38771,39646,-,pilK,1-876/876,===============,0/0,100.00,99.54,vfdb,NP_249103,(pilK) methyltransferase PilK [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,39707,41755,-,pilJ,1-2049/2049,===============,0/0,100.00,99.71,vfdb,NP_249102,(pilJ) twitching motility protein PilJ [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,41840,42376,-,pilI,1-537/537,===============,0/0,100.00,100.00,vfdb,NP_249101,(pilI) twitching motility protein PilI [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,42427,42792,-,pilH,1-366/366,===============,0/0,100.00,100.00,vfdb,NP_249100,(pilH) twitching motility protein PilH [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,42839,43246,-,pilG,1-408/408,===============,0/0,100.00,99.75,vfdb,NP_249099,(pilG) twitching motility protein PilG [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,53955,55103,-,pilU,1-1149/1149,===============,0/0,100.00,100.00,vfdb,NP_249087,(pilU) twitching motility protein PilU [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_21,55281,56315,-,pilT,1-1035/1035,===============,0/0,100.00,99.61,vfdb,NP_249086,(pilT) twitching motility protein PilT [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_22,45808,47199,-,algC,1-1392/1392,===============,0/0,100.00,99.78,vfdb,NP_254009,(algC) phosphomannomutase AlgC [Alginate biosynthesis (CVF522)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_23,424,1251,+,pvdF,1-828/828,===============,0/0,100.00,99.52,vfdb,NP_251086,(pvdF) pyoverdine synthetase F [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_23,1320,2180,-,pvdO,1-855/855,========/======,1/6,100.00,98.14,vfdb,NP_251085,(pvdO) pyoverdine biosynthesis protein PvdO [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_23,2209,3492,-,pvdN,1-1284/1284,===============,0/0,100.00,99.61,vfdb,NP_251084,(pvdN) pyoverdine biosynthesis protein PvdN [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_23,3515,4861,-,pvdM,1-1347/1347,===============,0/0,100.00,99.93,vfdb,NP_251083,(pvdM) dipeptidase precursor [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_23,5077,6711,+,pvdP,1-1635/1635,===============,0/0,100.00,99.51,vfdb,NP_251082,(pvdP) tyrosinase required for pyoverdine maturation  [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_23,13228,14559,+,pvdA,1-1332/1332,===============,0/0,100.00,98.87,vfdb,NP_251076,(pvdA) L-ornithine N5-oxygenase PvdA [Pyoverdine (VF0094)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_23,14682,16970,+,pvdQ,1-2289/2289,===============,0/0,100.00,99.48,vfdb,NP_251075,(pvdQ) 3-oxo-C12-homoserine lactone acylase PvdQ [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_24,579,1430,-,motA,1-852/852,===============,0/0,100.00,100.00,vfdb,NP_253641,(motA) flagellar motor protein [Deoxyhexose linking sugar 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_24,45366,46643,-,waaA,1-1278/1278,===============,0/0,100.00,99.92,vfdb,NP_253675,(waaA) lipopolysaccharide core biosynthesis protein WaaP [LPS (VF0085)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_24,71750,72556,-,waaP,1-807/807,===============,0/0,100.00,100.00,vfdb,NP_253696,(waaP) UDP-glucose:(heptosyl) LPS alpha 13-glucosyltransferase WaaG [LPS (VF0085)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_24,72553,73674,-,waaG,1-1122/1122,===============,0/0,100.00,99.82,vfdb,NP_253697,(waaG) B-band O-antigen polymerase [LPS (VF0085)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_24,73671,74738,-,waaC,1-1068/1068,===============,0/0,100.00,99.44,vfdb,NP_253698,(waaC) 3-deoxy-D-manno-octulosonic-acid (KDO) transferase [LPS (VF0085)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_24,74735,75772,-,waaF,1-1038/1038,===============,0/0,100.00,99.90,vfdb,NP_253699,(waaF) heptosyltransferase I [LPS (VF0085)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_25,14332,14913,+,algU,1-582/582,===============,0/0,100.00,99.83,vfdb,NP_249453,(algU) alginate biosynthesis protein AlgZ/FimS [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_25,14945,15529,+,mucA,1-585/585,===============,0/0,100.00,99.83,vfdb,NP_249454,(mucA) alkaline metalloproteinase precursor [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_25,15538,16488,+,mucB,1-951/951,===============,0/0,100.00,100.00,vfdb,NP_249455,(mucB) anti-sigma factor MucA inhibitor of alg gene expression [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_25,16485,16940,+,mucC,1-456/456,===============,0/0,100.00,99.78,vfdb,NP_249456,(mucC) negative regulator for alginate biosynthesis MucB [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_25,16980,18404,+,mucD,1-1425/1425,===============,0/0,100.00,99.72,vfdb,NP_249457,(mucD) serine protease MucD precursor [Alginate regulation (CVF523)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,3862,5172,+,algD,1-1311/1311,===============,0/0,100.00,99.85,vfdb,NP_252230,(algD) GDP-mannose 6-dehydrogenase AlgD [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,5312,6796,+,alg8,1-1485/1485,===============,0/0,100.00,99.86,vfdb,NP_252231,(alg8) alginate-c5-mannuronan-epimerase AlgG [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,6879,8048,+,alg44,1-1170/1170,===============,0/0,100.00,99.57,vfdb,NP_252232,(alg44) alginate biosynthesis protein Alg8 [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,8062,9489,+,algK,1-1428/1428,===============,0/0,100.00,99.86,vfdb,NP_252233,(algK) alginate biosynthesis protein Alg44 [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,9486,10958,+,algE,1-1473/1473,===============,0/0,100.00,99.59,vfdb,NP_252234,(algE) alginate biosynthetic protein AlgK precursor [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,10979,12610,+,algG,1-1632/1632,===============,0/0,100.00,99.94,vfdb,NP_252235,(algG) outer membrane protein AlgE [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,12623,14047,+,algX,1-1425/1425,===============,0/0,100.00,99.51,vfdb,NP_252236,(algX) alginate biosynthesis protein AlgX [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,14051,15154,+,algL,1-1104/1104,===============,0/0,100.00,99.73,vfdb,NP_252237,(algL) poly(beta-d-mannuronate) lyase precursor AlgL [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,15396,16958,+,algI,1-1563/1563,===============,0/0,100.00,99.68,vfdb,NP_252238,(algI) alginate o-acetyltransferase AlgI [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,16973,18148,+,algJ,1-1176/1176,===============,0/0,100.00,99.75,vfdb,NP_252239,(algJ) alginate o-acetyltransferase AlgJ [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,18221,18871,+,algF,1-651/651,===============,0/0,100.00,99.39,vfdb,NP_252240,(algF) alginate o-acetyltransferase AlgF [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,19068,20513,+,algA,1-1446/1446,===============,0/0,100.00,99.72,vfdb,NP_252241,(algA) phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,131445,132797,-,mucP,1-1353/1353,===============,0/0,100.00,99.70,vfdb,NP_252339,(mucP) metalloprotease protease [Alginate regulation (CVF523)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_3,212912,214408,-,lasB,1-1497/1497,===============,0/0,100.00,100.00,vfdb,NP_252413,(lasB) elastase LasB [LasB (VF0087)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_32,42020,43450,-,pchA,1-1431/1431,===============,0/0,100.00,99.65,vfdb,NP_252921,(pchA) salicylate biosynthesis isochorismate synthase PchA [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_32,43447,43752,-,pchB,1-306/306,===============,0/0,100.00,100.00,vfdb,NP_252920,(pchB) salicylate biosynthesis protein PchB [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_32,43752,44507,-,pchC,1-756/756,===============,0/0,100.00,99.73,vfdb,NP_252919,(pchC) pyochelin biosynthetic protein PchC [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_32,44504,46147,-,pchD,1-1644/1644,===============,0/0,100.00,99.51,vfdb,NP_252918,(pchD) pyochelin biosynthesis protein PchD [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_32,46377,47267,+,pchR,1-891/891,===============,0/0,100.00,99.66,vfdb,NP_252917,(pchR) transcriptional regulator PchR [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_32,47461,51765,+,pchE,1-4317/4317,========/======,1/12,99.72,99.21,vfdb,NP_252916,(pchE) dihydroaeruginoic acid synthetase PchE [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_32,51762,57191,+,pchF,1-5430/5430,===============,0/0,100.00,98.82,vfdb,NP_252915,(pchF) pyochelin synthetase PchF [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_32,57188,58237,+,pchG,1-1050/1050,===============,0/0,100.00,99.05,vfdb,NP_252914,(pchG) pyochelin biosynthetic protein PchG [Pyochelin (VF0095)] [Pseudomonas aeruginosa PAO1],
MAG05.fasta,MAG05_34,42673,44112,-,aprA,1-1440/1440,===============,0/0,100.00,99.51,vfdb,NP_249940,(aprA) alkaline metalloproteinase precursor [Alkaline protease (VF0090)] [Pseudomonas aeruginosa PAO1],
